Glasgow Maryhill and Springburn	http://statistics.gov.scot/id/statistical-geography/S16000118	undefined/GlasgowMaryhillandSpringburn	Glasgow Maryhill and Springburn	non-administrative-area
Glasgow Pollok	http://statistics.gov.scot/id/statistical-geography/S16000119	UnitedKingdom/Scotland/GlasgowCity/Glasgow/Glasgow/Pollok	Pollok	administrative-area
Glasgow Provan	http://statistics.gov.scot/id/statistical-geography/S16000120	undefined/GlasgowProvan	Glasgow Provan	non-administrative-area
Glasgow Shettleston	http://statistics.gov.scot/id/statistical-geography/S16000121	UnitedKingdom/Scotland/GlasgowCity/Glasgow/Glasgow/Shettleston	Shettleston	administrative-area
Glasgow Southside	http://statistics.gov.scot/id/statistical-geography/S16000122	undefined/GlasgowSouthside	Glasgow Southside	non-administrative-area
Greenock and Inverclyde	http://statistics.gov.scot/id/statistical-geography/S16000123	UnitedKingdom/Scotland/Inverclyde/Greenock	Greenock	administrative-area
Hamilton	http://statistics.gov.scot/id/statistical-geography/S16000124	Canada/Ontario/HamiltonDivision/Hamilton	Hamilton	administrative-area
Inverness and Nairn	http://statistics.gov.scot/id/statistical-geography/S16000125	undefined/InvernessandNairn	Inverness and Nairn	non-administrative-area
Kilmarnock and Irvine Valley	http://statistics.gov.scot/id/statistical-geography/S16000126	undefined/KilmarnockandIrvineValley	Kilmarnock and Irvine Valley	non-administrative-area
Kirkcaldy	http://statistics.gov.scot/id/statistical-geography/S16000127	UnitedKingdom/Scotland/Fife/Kirkcaldy	Kirkcaldy	administrative-area
Linlithgow	http://statistics.gov.scot/id/statistical-geography/S16000128	UnitedKingdom/Scotland/WestLothian/Linlithgow	Linlithgow	administrative-area
Mid Fife and Glenrothes	http://statistics.gov.scot/id/statistical-geography/S16000129	UnitedKingdom/Fife/Lochgelly/Cardenden/MiddleCottage	Middle Cottage	administrative-area
Midlothian North and Musselburgh	http://statistics.gov.scot/id/statistical-geography/S16000130	UnitedKingdom/Scotland/EastLothian/Musselburgh/Musselburgh	Musselburgh	administrative-area
Midlothian South	http://statistics.gov.scot/id/statistical-geography/S16000131	undefined/MidlothianSouth	Midlothian South	non-administrative-area
Moray	http://statistics.gov.scot/id/statistical-geography/S16000132	UnitedKingdom/Scotland/Moray	Moray	administrative-area
Motherwell and Wishaw	http://statistics.gov.scot/id/statistical-geography/S16000133	undefined/MotherwellandWishaw	Motherwell and Wishaw	non-administrative-area
North East Fife	http://statistics.gov.scot/id/statistical-geography/S16000134	UnitedKingdom/Scotland/Fife	Fife	administrative-area
Orkney Islands	http://statistics.gov.scot/id/statistical-geography/S16000135	UnitedKingdom/Scotland/Orkney	Orkney	administrative-area
Paisley	http://statistics.gov.scot/id/statistical-geography/S16000136	UnitedKingdom/Scotland/Renfrewshire/Paisley	Paisley	administrative-area
Perthshire North	http://statistics.gov.scot/id/statistical-geography/S16000137	UnitedStates/Mississippi/BolivarCounty/Perthshire	Perthshire	administrative-area
Perthshire South and Kinross-shire	http://statistics.gov.scot/id/statistical-geography/S16000138	undefined/PerthshireSouthandKinross-shire	Perthshire South and Kinross-shire	non-administrative-area
Renfrewshire North and West	http://statistics.gov.scot/id/statistical-geography/S16000139	UnitedKingdom/Scotland/Renfrewshire	Renfrewshire	administrative-area
Renfrewshire South	http://statistics.gov.scot/id/statistical-geography/S16000140	UnitedKingdom/Scotland/Renfrewshire	Renfrewshire	administrative-area
Rutherglen	http://statistics.gov.scot/id/statistical-geography/S16000141	UnitedKingdom/Scotland/SouthLanarkshire/Glasgow/Rutherglen	Rutherglen	administrative-area
Shetland Islands	http://statistics.gov.scot/id/statistical-geography/S16000142	UnitedKingdom/Scotland/ShetlandIslands	Shetland Islands	administrative-area
Skye	http://statistics.gov.scot/id/statistical-geography/S16000143	UnitedKingdom/Highland/Skye	Skye	administrative-area
Stirling	http://statistics.gov.scot/id/statistical-geography/S16000144	UnitedKingdom/Scotland/Stirling	Stirling	administrative-area
Strathkelvin and Bearsden	http://statistics.gov.scot/id/statistical-geography/S16000145	undefined/StrathkelvinandBearsden	Strathkelvin and Bearsden	non-administrative-area
Uddingston and Bellshill	http://statistics.gov.scot/id/statistical-geography/S16000146	undefined/UddingstonandBellshill	Uddingston and Bellshill	non-administrative-area
Scotland	http://statistics.gov.scot/id/statistical-geography/S92000003	UnitedKingdom/Scotland	Scotland	administrative-area
